variant,label,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
contact_before_scroll,Contact before scroll,0.7352415463019679,0.7225933202357564,0.7431156569630213,0.7108787490426236,0.2952820137254902,0.03558944509803922,0.24548648823529415,0.7543814784313726
forty_eight_hour_reality,48h move to reality,0.7098627088888471,0.6722986247544205,0.7431156569630213,0.6771719245075903,0.2993481588235294,0.03534188823529412,0.24634843529411765,0.6417038980392157
full_behavior_bundle,Full behavior bundle,0.7047476495130467,0.6746656176239182,0.7206923682140047,0.6911242519469535,0.2995335352941177,0.03512190392156863,0.496453662745098,0.46765332156862743
distance_filter_first,Distance filter first,0.5153839147166167,0.4694596711041504,0.5627211954384586,0.40135947623491336,0.30803761568627447,0.03777938235294118,0.2023428705882353,0.791474443137255
fixed_local_venue,Weekly fixed local venue,0.432345443557783,0.386729485669415,0.494492525570417,0.40102279608608615,0.3557027352941176,0.034961003921568624,0.24952810392156863,0.749888
no_phantom_replay,Do not replay phantom candidates,0.06674344600428385,0.06058221872541306,0.07347740667976424,0.039790402205259444,0.38065662941176476,0.03788299803921569,0.0813939431372549,0.6635103549019608
raw_sns,Raw SNS / no discipline,0.0011746280344557558,0.0,0.003523884103367267,0.0006525711302531977,0.23522732941176475,0.010588233333333334,0.0026573921568627448,0.18769614509803922
