experiment,variant,label,condition,selection_mode,top_k,selectivity_mean,max_candidate_pool_multiplier,action_radius,protected_slots,reserve_fraction,learning,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,late_visibility_action_gap_mean,late_action_coverage_mean,late_candidate_pool_multiplier_mean,late_mean_selection_quota,final_mean_region_reserve,final_max_region_reserve
e_reserve_threshold_robustness,topk_8_slots_8,"top-k 8, protected slots 8",,,8.0,,,,8.0,1.0,,3,1.057075416895507,0.993431855500821,1.1343161343161343,0.9942582528789425,0.20534505555555557,0.03474092222222222,0.5791808777777777,0.42081912222222223,0.8728865555555556,0.12711344444444445,300.0,8.0,,
e_reserve_threshold_robustness,topk_16_slots_0,"top-k 16, protected slots 0",,,16.0,,,,0.0,0.0,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
e_reserve_threshold_robustness,topk_16_slots_1,"top-k 16, protected slots 1",,,16.0,,,,1.0,0.0625,,3,0.22389712501731962,0.18211648892534865,0.2569786535303777,0.1938355091589795,0.3456292,0.03522918888888888,0.05769406666666666,0.9423059333333333,0.6694948,0.3305052,300.0,16.0,,
e_reserve_threshold_robustness,topk_16_slots_2,"top-k 16, protected slots 2",,,16.0,,,,2.0,0.125,,3,0.6806996487627871,0.6765188834154351,0.6866283839212469,0.6766032998388519,0.35805341111111105,0.032228233333333335,0.12190141111111112,0.8780986000000001,0.8424516111111111,0.1575483888888889,300.0,16.0,,
e_reserve_threshold_robustness,topk_16_slots_4,"top-k 16, protected slots 4",,,16.0,,,,4.0,0.25,,3,0.9961519998294065,0.9737274220032841,1.022932022932023,0.9530000392493675,0.23931115555555557,0.03377260000000001,0.22215268888888887,0.777847311111111,0.8525984444444444,0.14740155555555556,300.0,16.0,,
e_reserve_threshold_robustness,topk_16_slots_8,"top-k 16, protected slots 8",,,16.0,,,,8.0,0.5,,3,1.0401559128469258,1.014766201804758,1.0851760851760852,0.9855287459881389,0.2083417,0.03510512222222222,0.27453410000000006,0.7254659,0.8744796666666664,0.12552033333333334,300.0,16.0,,
e_reserve_threshold_robustness,topk_16_slots_16,"top-k 16, protected slots 16",,,16.0,,,,16.0,1.0,,3,1.0469753235728738,0.9983593109105825,1.117936117936118,0.9918086480842838,0.20134153333333335,0.03436565555555556,0.29392668888888884,0.7060733111111112,0.8738957666666667,0.12610423333333334,300.0,16.0,,
e_reserve_threshold_robustness,topk_32_slots_0,"top-k 32, protected slots 0",,,32.0,,,,0.0,0.0,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
e_reserve_threshold_robustness,topk_32_slots_1,"top-k 32, protected slots 1",,,32.0,,,,1.0,0.03125,,3,0.15256248806926298,0.1334971334971335,0.18801313628899835,0.15037378008722524,0.36021604444444444,0.03978955555555555,0.02567374444444444,0.9621038333333334,0.7378570222222223,0.25103186666666666,300.0,31.644444444444446,,
e_reserve_threshold_robustness,topk_32_slots_2,"top-k 32, protected slots 2",,,32.0,,,,2.0,0.0625,,3,0.7053263905828189,0.6636587366694011,0.7610837438423645,0.6752535516361151,0.2936758555555556,0.03645402222222222,0.06017104444444444,0.9398085777777778,0.8655263444444444,0.13447365555555557,300.0,32.0,,
e_reserve_threshold_robustness,topk_32_slots_4,"top-k 32, protected slots 4",,,32.0,,,,4.0,0.125,,3,0.9928592082562266,0.9425758818703855,1.0499590499590499,0.956542557501512,0.23080456666666663,0.03504301111111111,0.10690996666666668,0.8930900333333334,0.8682941333333334,0.13170586666666664,300.0,32.0,,
e_reserve_threshold_robustness,topk_32_slots_8,"top-k 32, protected slots 8",,,32.0,,,,8.0,0.25,,3,1.0715818499332403,1.0205254515599342,1.1228501228501229,0.9945399945399945,0.20922453333333335,0.03452981111111111,0.14731763333333334,0.8526676000000001,0.8684842,0.1315158,300.0,32.0,,
e_reserve_threshold_robustness,topk_32_slots_16,"top-k 32, protected slots 16",,,32.0,,,,16.0,0.5,,3,1.0469753235728738,0.9983593109105825,1.117936117936118,0.9918086480842838,0.20134153333333335,0.03436565555555556,0.14696325555555556,0.8530367333333334,0.8738957666666667,0.12610423333333334,300.0,32.0,,
e_reserve_threshold_robustness,topk_32_slots_32,"top-k 32, protected slots 32",,,32.0,,,,32.0,1.0,,3,1.0469753235728738,0.9983593109105825,1.117936117936118,0.9918086480842838,0.20134153333333335,0.03436565555555556,0.14696325555555556,0.8530367333333334,0.8738957666666667,0.12610423333333334,300.0,32.0,,
e_reserve_threshold_robustness,topk_64_slots_0,"top-k 64, protected slots 0",,,64.0,,,,0.0,0.0,,3,0.025152541248266973,0.0171990171990172,0.04101722723543889,0.023785300340419008,0.43865350000000003,0.030949200000000007,0.010529077777777777,0.6743931888888888,0.15841275555555556,0.5304761333333333,300.0,44.08888888888888,,
e_reserve_threshold_robustness,topk_64_slots_1,"top-k 64, protected slots 1",,,64.0,,,,1.0,0.015625,,3,0.1990709116391558,0.13841113841113842,0.2791461412151067,0.18075928293461038,0.33587413333333327,0.039725722222222225,0.012702922222222223,0.9805809555555557,0.7891384444444444,0.2108615555555556,300.0,64.0,,
e_reserve_threshold_robustness,topk_64_slots_2,"top-k 64, protected slots 2",,,64.0,,,,2.0,0.03125,,3,0.7047366709611059,0.6896551724137931,0.7338247338247338,0.6801561133687524,0.3202107777777778,0.03661258888888889,0.03015443333333333,0.9693294333333333,0.8611882777777778,0.13881172222222224,300.0,64.0,,
e_reserve_threshold_robustness,topk_64_slots_4,"top-k 64, protected slots 4",,,64.0,,,,4.0,0.0625,,3,0.987949682427915,0.9507793273174734,1.027027027027027,0.9475371317610576,0.23941596666666667,0.03485514444444445,0.05437698888888889,0.9445621000000001,0.8654901777777778,0.13450982222222221,300.0,64.0,,
e_reserve_threshold_robustness,topk_64_slots_8,"top-k 64, protected slots 8",,,64.0,,,,8.0,0.125,,3,1.0639378422892325,1.0205254515599342,1.0999180999181,0.9847119847119847,0.21016315555555556,0.03502974444444445,0.07289926666666667,0.9266991,0.8705651444444445,0.12943485555555556,300.0,64.0,,
e_reserve_threshold_robustness,topk_64_slots_16,"top-k 64, protected slots 16",,,64.0,,,,16.0,0.25,,3,1.0469753235728738,0.9983593109105825,1.117936117936118,0.9918086480842838,0.20134153333333335,0.03436565555555556,0.0734815888888889,0.9262927444444444,0.8738957666666667,0.12610423333333334,300.0,64.0,,
e_reserve_threshold_robustness,topk_64_slots_32,"top-k 64, protected slots 32",,,64.0,,,,32.0,0.5,,3,1.0469753235728738,0.9983593109105825,1.117936117936118,0.9918086480842838,0.20134153333333335,0.03436565555555556,0.0734815888888889,0.9262927444444444,0.8738957666666667,0.12610423333333334,300.0,64.0,,
f_cultural_overconstraint,reserve_0_0000,Reserve fraction 0.0000,,,,,,,,0.0,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
f_cultural_overconstraint,reserve_0_0625,Reserve fraction 0.0625,,,,,,,,0.0625,,3,0.22389712501731962,0.18211648892534865,0.2569786535303777,0.1938355091589795,0.3456292,0.03522918888888888,0.05769406666666666,0.9423059333333333,0.6694948,0.3305052,300.0,16.0,,
f_cultural_overconstraint,reserve_0_1250,Reserve fraction 0.1250,,,,,,,,0.125,,3,0.6806996487627871,0.6765188834154351,0.6866283839212469,0.6766032998388519,0.35805341111111105,0.032228233333333335,0.12190141111111112,0.8780986000000001,0.8424516111111111,0.1575483888888889,300.0,16.0,,
f_cultural_overconstraint,reserve_0_2500,Reserve fraction 0.2500,,,,,,,,0.25,,3,0.9961519998294065,0.9737274220032841,1.022932022932023,0.9530000392493675,0.23931115555555557,0.03377260000000001,0.22215268888888887,0.777847311111111,0.8525984444444444,0.14740155555555556,300.0,16.0,,
f_cultural_overconstraint,reserve_0_5000,Reserve fraction 0.5000,,,,,,,,0.5,,3,1.0401559128469258,1.014766201804758,1.0851760851760852,0.9855287459881389,0.2083417,0.03510512222222222,0.27453410000000006,0.7254659,0.8744796666666664,0.12552033333333334,300.0,16.0,,
f_cultural_overconstraint,reserve_0_7500,Reserve fraction 0.7500,,,,,,,,0.75,,3,1.049733548955636,1.0311986863711002,1.0778050778050778,0.9945399945399945,0.21149824444444443,0.0343409,0.3093552222222222,0.6906447777777777,0.8667841333333333,0.13321586666666665,300.0,16.0,,
f_cultural_overconstraint,reserve_0_9000,Reserve fraction 0.9000,,,,,,,,0.9,,3,1.0483436870102028,0.9983593109105825,1.117936117936118,0.9918086480842838,0.2013499,0.03449158888888889,0.29461947777777775,0.7053805222222223,0.8736622888888889,0.1263377111111111,300.0,16.0,,
f_cultural_overconstraint,reserve_1_0000,Reserve fraction 1.0000,,,,,,,,1.0,,3,1.0469753235728738,0.9983593109105825,1.117936117936118,0.9918086480842838,0.20134153333333335,0.03436565555555556,0.29392668888888884,0.7060733111111112,0.8738957666666667,0.12610423333333334,300.0,16.0,,
g_institutional_learning,no_learning,No learning,,,,,,,,,none,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,,
g_institutional_learning,slow_learning,Slow regional learning,,,,,,,,,slow,3,0.6668761466645542,0.5118755118755118,0.7898193760262726,0.4183496210595868,0.18721488888888893,0.04245937777777778,0.18890442222222217,0.8110955777777776,0.8645909555555554,0.13540904444444443,300.0,16.0,0.451389,0.5
g_institutional_learning,fast_learning,Fast regional learning,,,,,,,,,fast,3,0.9451157584449428,0.864045864045864,1.0164203612479474,0.6810548937645766,0.1961306111111111,0.03910902222222222,0.24376321111111113,0.7562367888888889,0.8651210888888888,0.13487891111111108,300.0,16.0,0.7013889999999999,0.75
g_institutional_learning,preadapted_025,Preadapted reserve 0.25,,,,,,,,0.25,preadapted,3,0.9961519998294065,0.9737274220032841,1.022932022932023,0.9530000392493675,0.23931115555555557,0.03377260000000001,0.22215268888888887,0.777847311111111,0.8525984444444444,0.14740155555555556,300.0,16.0,,
