year,calendar_year,population_size,birth_count,births_per_population,births_per_eligible,births_per_matched_pair,death_count,matched_pair_count,new_pair_count,active_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,mean_perceived_candidate_count,median_perceived_candidate_count,mean_actionable_candidate_count,action_coverage_rate,visibility_action_gap,mean_selected_actionable_share,mean_selection_quota,mean_selection_acceptance_share,mean_phantom_candidate_count,mean_sampled_phantom_candidate_count,mean_selected_phantom_count,mean_phantom_selection_share,candidate_pool_multiplier,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,action_radius,blocked_mutual_pair_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius,variant,label,seed
17,1996,2703,30,0.011099,0.02924,0.087719,21,342,32,599,0.333333,0.492754,0.0,0.492763,0.0,0.492754,0.002392,0.0,0.362319,0.492754,0.362312,0.0,0.0,0.0,0.0,1.00002,0.002392,0.001257,0.08436,1,0.12,0,0.007487,0.889542,2.108959,0.980565,52.941176,0.020005,raw_sns,Raw SNS / no discipline,42
18,1997,2712,27,0.009956,0.026419,0.079412,18,340,30,607,0.334638,0.420513,0.0,0.420539,0.0,0.420513,0.002168,0.0,0.34359,0.420513,0.343568,0.0,0.0,0.0,0.0,1.000062,0.002168,0.001259,0.0842,1,0.12,0,0.007849,0.885711,2.104414,0.98282,47.032258,0.020015,raw_sns,Raw SNS / no discipline,42
19,1998,2724,37,0.013583,0.035992,0.106322,25,348,40,618,0.322957,0.805687,0.0,0.805844,0.0,0.805687,0.003837,0.0,0.473934,0.805687,0.473841,0.0,0.0,0.0,0.0,1.000195,0.003837,0.001263,0.084173,1,0.12,0,0.008344,0.881106,2.098935,0.978073,60.844444,0.020048,raw_sns,Raw SNS / no discipline,42
20,1999,2730,30,0.010989,0.02907,0.08547,24,351,34,620,0.319767,0.625641,0.0,0.626023,0.0,0.625641,0.003225,0.0,0.379487,0.625641,0.379256,0.0,0.0,0.0,0.0,1.00061,0.003225,0.001275,0.084,1,0.12,0,0.009194,0.877483,2.094616,0.979438,56.25,0.020149,raw_sns,Raw SNS / no discipline,42
21,2000,2737,33,0.012057,0.032353,0.098214,26,336,24,623,0.341176,0.483516,0.0,0.484442,0.0,0.483516,0.002671,0.0,0.313187,0.483516,0.312588,0.0,0.0,0.0,0.0,1.001915,0.002671,0.001316,0.083947,1,0.12,0,0.009134,0.871463,2.087418,0.979872,55.846154,0.020468,raw_sns,Raw SNS / no discipline,42
22,2001,2745,32,0.011658,0.03125,0.094955,24,337,33,631,0.341797,0.614583,0.0,0.618278,0.0,0.614583,0.003218,0.0,0.411458,0.614583,0.409,0.0,0.0,0.0,0.0,1.006012,0.003218,0.001447,0.083827,1,0.12,0,0.008486,0.861623,2.0756,0.978097,60.235294,0.021465,raw_sns,Raw SNS / no discipline,42
23,2002,2737,26,0.009499,0.02544,0.074286,34,350,50,636,0.315068,1.116505,1.0,1.137639,1.018929,1.116505,0.005446,0.0,0.587379,1.116505,0.576467,0.0,0.0,0.0,0.0,1.018929,0.005446,0.001899,0.083853,1,0.12,0,0.009346,0.856365,2.069257,0.982406,48.285714,0.024584,raw_sns,Raw SNS / no discipline,42
24,2003,2740,33,0.012044,0.031946,0.088235,30,374,53,660,0.275895,1.977143,2.0,2.096028,2.120259,1.977143,0.011363,0.0,0.748571,1.977143,0.706113,0.0,0.0,0.0,0.0,1.06013,0.011363,0.00369,0.083907,1,0.12,0,0.008408,0.851434,2.063291,0.978655,58.864865,0.034273,raw_sns,Raw SNS / no discipline,42
25,2004,2758,41,0.014866,0.040117,0.105398,23,389,58,681,0.238748,5.347518,5.0,6.396898,5.981185,5.347518,0.038197,0.0,0.813448,6.397163,0.934218,1.049645,1.049645,1.049645,0.136907,1.196237,0.038197,0.012787,0.083773,1,0.12,0,0.006691,0.841286,2.050958,0.975504,68.612245,0.063798,raw_sns,Raw SNS / no discipline,42
26,2005,2761,31,0.011228,0.030542,0.078283,28,396,29,688,0.219704,9.114286,8.0,15.430969,13.544424,7.514286,0.108903,0.023188,0.481675,12.585714,0.882067,6.328571,6.328571,5.242857,0.412143,1.693053,0.132091,0.06947,0.0836,1,0.12,39,0.007002,0.836246,2.044805,0.980255,54.914286,0.148704,raw_sns,Raw SNS / no discipline,42
27,2006,2750,24,0.008727,0.023857,0.067606,35,355,6,653,0.294235,32.808989,34.0,130.30206,135.032204,8.764045,0.099591,0.273238,0.068118,16.0,0.168914,97.539326,97.539326,12.325843,0.770365,3.971535,0.372829,0.400652,0.083653,1,0.12,19,0.007437,0.832242,2.039904,0.985212,41.142857,0.357116,raw_sns,Raw SNS / no discipline,42
28,2007,2752,25,0.009084,0.0249,0.076923,23,325,0,625,0.35259,102.992366,110.0,1783.880114,1905.255888,15.618321,0.120141,0.672108,0.005725,16.0,0.009663,1680.801527,512.0,15.396947,0.962309,17.320508,0.792249,1.0,0.08364,1,0.12,1,0.00749,0.829995,2.037149,0.984506,43.103448,0.717107,raw_sns,Raw SNS / no discipline,42
29,2008,2742,23,0.008388,0.023023,0.077441,33,297,0,599,0.405405,180.813187,181.0,13658.182687,13672.294095,21.923077,0.121122,0.877846,0.011332,16.0,0.001171,13477.115385,512.0,14.115385,0.882212,75.537536,0.998968,1.0,0.083747,1,0.12,2,0.006918,0.826782,2.033202,0.983224,46.0,1.077098,raw_sns,Raw SNS / no discipline,42
30,2009,2734,16,0.005852,0.016129,0.059259,24,270,0,563,0.455645,237.0,237.0,41995.140165,41995.140165,28.352941,0.119633,0.880367,0.017069,16.0,0.000381,41758.0,512.0,13.722689,0.857668,177.194684,1.0,1.0,0.08376,1,0.12,2,0.00679,0.821609,2.026831,0.988296,32.0,1.285509,raw_sns,Raw SNS / no discipline,42
31,2010,2713,19,0.007003,0.019408,0.079498,40,239,0,526,0.511747,294.0,294.0,73731.213021,73731.213021,36.189831,0.123095,0.876905,0.017161,16.0,0.000217,73437.0,512.0,13.501695,0.843856,250.786439,1.0,1.0,0.08408,1,0.12,4,0.006896,0.818597,2.023112,0.985993,38.0,1.370415,raw_sns,Raw SNS / no discipline,42
32,2011,2705,21,0.007763,0.021538,0.09417,29,223,0,500,0.542564,338.0,338.0,95648.673933,95648.673933,40.283186,0.119181,0.880819,0.018621,16.0,0.000167,95311.0,512.0,13.457227,0.841077,282.984242,1.0,1.0,0.084213,1,0.12,4,0.007117,0.813585,2.016909,0.988276,32.666667,1.399941,raw_sns,Raw SNS / no discipline,42
33,2012,2698,22,0.008154,0.022822,0.109453,29,201,0,472,0.582988,378.0,378.0,111293.325274,111293.325274,45.71504,0.120939,0.879061,0.021933,16.0,0.000144,110915.0,512.0,13.092348,0.818272,294.426786,1.0,1.0,0.08432,1,0.12,3,0.006644,0.808188,2.010209,0.985107,40.333333,1.40963,raw_sns,Raw SNS / no discipline,42
34,2013,2683,9,0.003354,0.009375,0.050279,24,179,0,443,0.627083,432.0,432.0,128825.553878,128825.553878,50.424942,0.116724,0.883276,0.022084,16.0,0.000124,128394.0,512.0,12.861432,0.803839,298.207301,1.0,1.0,0.084347,1,0.12,9,0.007304,0.805842,2.007289,0.993291,18.0,1.412749,raw_sns,Raw SNS / no discipline,42
