calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
birth_high,Higher birth probability,fertility,symmetric,Symmetric,none,1,1233.0,2303.0,2146,2265.0,1.8369829683698298,1.0,,0.2405269,0.03656523333333333,0.21394756666666664,0.7860524333333333
birth_high,Higher birth probability,fertility,symmetric,Symmetric,none,2,1231.0,2252.0,2126,2198.0,1.785540211210398,1.0,,0.2825459,0.03570606666666667,0.2191403333333333,0.7808596666666667
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,0,1230.0,2141.0,2158,2135.0,1.7357723577235773,1.0,,0.3136422666666666,0.0367672,0.18431106666666666,0.8156889333333333
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,1,1234.0,2266.0,2150,2230.0,1.807131280388979,1.0,,0.28843146666666664,0.03407386666666666,0.2017552,0.7982447999999999
birth_high,Higher birth probability,fertility,income_500_floor,B 500+ proxy,fixed 0.55,2,1230.0,2081.0,2154,2080.0,1.6910569105691058,1.0,,0.3100022000000001,0.036909866666666666,0.19984796666666668,0.8001520333333334
birth_high,Higher birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1236.0,1720.0,2147,1720.0,1.3915857605177993,1.0,,0.42979080000000003,0.03288273333333333,0.1942172,0.8057827999999998
birth_high,Higher birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1219.0,2035.0,2148,1979.0,1.623461853978671,1.0,,0.3583655333333333,0.0342695,0.2017753,0.7981757333333335
birth_high,Higher birth probability,fertility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1224.0,1745.0,2154,1714.0,1.4003267973856208,1.0,,0.34724676666666665,0.03704146666666666,0.19745189999999993,0.8025480999999999
birth_high,Higher birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1236.0,1500.0,2013,1467.0,1.1868932038834952,0.7920711974110033,,0.3175168666666666,0.047529100000000005,0.164217,0.8357829999999999
birth_high,Higher birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1219.0,1548.0,2159,1548.0,1.2698933552091878,0.9474979491386383,,0.34195203333333335,0.0403471,0.18109619999999996,0.8189037666666666
birth_high,Higher birth probability,fertility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1224.0,1616.0,2159,1616.0,1.3202614379084967,0.8913398692810458,,0.3784520333333334,0.04014423333333333,0.19343453333333335,0.8065545000000001
initial_pairs_low,Lower initial pair stock,pairing,symmetric,Symmetric,none,0,1221.0,1367.0,2018,1018.0,0.8337428337428338,0.814086814086814,,0.2920278333333333,0.038716966666666665,0.13962983333333331,0.8603701666666665
initial_pairs_low,Lower initial pair stock,pairing,symmetric,Symmetric,none,1,1220.0,1297.0,2005,926.0,0.759016393442623,0.7508196721311475,,0.3212846666666666,0.034581966666666665,0.1025345,0.8974654999999998
initial_pairs_low,Lower initial pair stock,pairing,symmetric,Symmetric,none,2,1215.0,1286.0,1996,1030.0,0.8477366255144033,0.7522633744855967,,0.24083106666666668,0.033734466666666664,0.14784940000000002,0.8521506000000001
initial_pairs_low,Lower initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1333.0,2008,615.0,0.5032733224222586,0.5032733224222586,,0.38013506666666674,0.03692613333333334,0.07608030000000002,0.9239197
initial_pairs_low,Lower initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,1,1220.0,1287.0,2005,660.0,0.5409836065573771,0.5295081967213114,,0.31650539999999994,0.03310433333333333,0.0983718,0.9016282
initial_pairs_low,Lower initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1272.0,1996,772.0,0.6353909465020576,0.594238683127572,,0.2515264,0.04171943333333334,0.11895066666666665,0.8809477
initial_pairs_low,Lower initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1284.0,2002,578.0,0.47493837304847986,0.44535743631881675,2088.0,0.32454990000000006,0.038496166666666665,0.09678023333333334,0.9032197666666666
initial_pairs_low,Lower initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1209.0,1255.0,2004,500.0,0.41356492969396197,0.41273779983457404,2092.0,0.3828476,0.03503646666666667,0.0992717,0.9006774666666666
initial_pairs_low,Lower initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1218.0,1318.0,2006,538.0,0.44170771756978655,0.43596059113300495,2107.0,0.3201776333333333,0.037973200000000006,0.10252246666666666,0.8974775333333334
initial_pairs_low,Lower initial pair stock,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1283.0,2001,237.0,0.19474116680361545,0.1922760887428102,2069.0,0.42557653333333334,0.0360352,0.06230046666666666,0.9376995333333336
initial_pairs_low,Lower initial pair stock,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1209.0,1252.0,1996,156.0,0.12903225806451613,0.12903225806451613,2069.0,0.46538549999999995,0.027745433333333333,0.03535793333333334,0.9646420666666666
initial_pairs_low,Lower initial pair stock,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1218.0,1314.0,2006,310.0,0.2545155993431856,0.2512315270935961,2065.0,0.36103583333333333,0.0364339,0.06406226666666666,0.9359377333333333
initial_pairs_high,Higher initial pair stock,pairing,symmetric,Symmetric,none,0,1222.0,1369.0,2017,898.0,0.734860883797054,0.7086743044189853,,0.28217196666666666,0.03935840000000001,0.12690336666666666,0.8730966333333333
initial_pairs_high,Higher initial pair stock,pairing,symmetric,Symmetric,none,1,1220.0,1300.0,2005,820.0,0.6721311475409836,0.6680327868852459,,0.36546990000000007,0.03239393333333333,0.08227673333333334,0.9177232666666667
initial_pairs_high,Higher initial pair stock,pairing,symmetric,Symmetric,none,2,1217.0,1276.0,1996,1056.0,0.8677074774034511,0.8019720624486442,,0.26216880000000004,0.03372326666666667,0.15830510000000003,0.8416948999999999
initial_pairs_high,Higher initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1338.0,2010,789.0,0.6456628477905073,0.6129296235679215,,0.2868719,0.034987033333333334,0.10956213333333334,0.8904378666666669
initial_pairs_high,Higher initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1286.0,1996,784.0,0.6431501230516817,0.5824446267432322,,0.31812729999999995,0.041068566666666674,0.10204043333333332,0.8979595666666665
initial_pairs_high,Higher initial pair stock,pairing,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1274.0,1996,748.0,0.6156378600823045,0.5769547325102881,,0.24216346666666666,0.04164353333333333,0.1411203,0.8588797333333336
initial_pairs_high,Higher initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1276.0,2000,409.0,0.3360723089564503,0.3188167625308135,2076.0,0.32765479999999997,0.03870643333333334,0.07457453333333335,0.9253733666666667
initial_pairs_high,Higher initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,557.0,0.4599504541701073,0.4475639966969447,2099.0,0.32718359999999996,0.036983833333333334,0.08920313333333332,0.9096592666666669
initial_pairs_high,Higher initial pair stock,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1305.0,2006,630.0,0.5176663927691043,0.4724732949876746,2088.0,0.2872700666666666,0.03623270000000001,0.09548276666666668,0.9045172333333333
initial_pairs_high,Higher initial pair stock,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1275.0,2000,238.0,0.19556285949055052,0.19474116680361545,2066.0,0.3893937,0.03931430000000001,0.06253563333333333,0.9374643666666667
initial_pairs_high,Higher initial pair stock,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,213.0,0.17588769611891,0.17588769611891,2068.0,0.4438040666666666,0.03181253333333334,0.0544424,0.9455575999999998
initial_pairs_high,Higher initial pair stock,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1301.0,2006,357.0,0.2933442892358258,0.2908792111750205,2073.0,0.39204039999999996,0.033914900000000005,0.07898443333333333,0.9210155666666666
pair_duration_short,Shorter pair duration,pairing,symmetric,Symmetric,none,0,1221.0,1377.0,2017,1252.0,1.0253890253890254,0.9533169533169533,,0.23892183333333333,0.03523883333333333,0.19836983333333333,0.8016301333333332
pair_duration_short,Shorter pair duration,pairing,symmetric,Symmetric,none,1,1220.0,1305.0,2005,988.0,0.8098360655737705,0.8081967213114755,,0.258871,0.0348853,0.1625037666666667,0.8374962333333333
pair_duration_short,Shorter pair duration,pairing,symmetric,Symmetric,none,2,1217.0,1294.0,1996,1106.0,0.9087921117502055,0.8849630238290879,,0.2677046666666667,0.030942333333333332,0.18102423333333334,0.8189757666666664
pair_duration_short,Shorter pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1328.0,2008,806.0,0.6595744680851063,0.61620294599018,,0.2780774666666667,0.03568973333333334,0.15993336666666666,0.8400666333333334
pair_duration_short,Shorter pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1308.0,2005,801.0,0.6570959803117309,0.6300246103363413,,0.2759078666666666,0.0393742,0.16248536666666666,0.8375146333333332
pair_duration_short,Shorter pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,2,1216.0,1276.0,2008,851.0,0.6998355263157895,0.634046052631579,,0.3204573666666667,0.04064446666666667,0.15368653333333332,0.8463134666666667
pair_duration_short,Shorter pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1221.0,1278.0,2000,496.0,0.4062244062244062,0.3841113841113841,2076.0,0.3265123333333333,0.03528836666666666,0.12025223333333335,0.8797478000000002
pair_duration_short,Shorter pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1209.0,1250.0,1996,588.0,0.48635235732009924,0.4739454094292804,2103.0,0.3033075333333334,0.035202033333333334,0.1645235333333333,0.8354764666666668
pair_duration_short,Shorter pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1218.0,1322.0,2006,679.0,0.5574712643678161,0.5385878489326765,,0.35625676666666667,0.03672296666666666,0.16118356666666667,0.8388164333333332
pair_duration_short,Shorter pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1221.0,1285.0,2000,289.0,0.23669123669123668,0.23013923013923013,2068.0,0.3932089999999999,0.04128223333333334,0.07034623333333333,0.9296537666666667
pair_duration_short,Shorter pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1209.0,1250.0,1996,350.0,0.2894954507857734,0.28287841191067,2070.0,0.3934593333333333,0.0377314,0.1058989,0.8939283666666668
pair_duration_short,Shorter pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1218.0,1316.0,2006,443.0,0.3637110016420361,0.34236453201970446,2072.0,0.33142406666666674,0.04067003333333333,0.10869253333333334,0.8913074666666667
pair_duration_long,Longer pair duration,pairing,symmetric,Symmetric,none,0,1222.0,1357.0,2017,1077.0,0.881342062193126,0.8297872340425532,,0.2524153,0.03790456666666666,0.11284556666666665,0.8871544333333335
pair_duration_long,Longer pair duration,pairing,symmetric,Symmetric,none,1,1220.0,1289.0,2005,934.0,0.7655737704918033,0.6581967213114754,,0.2508143666666666,0.03816806666666666,0.10152570000000002,0.8984742666666666
pair_duration_long,Longer pair duration,pairing,symmetric,Symmetric,none,2,1217.0,1276.0,2008,1094.0,0.8989317995069844,0.847986852917009,,0.27129013333333335,0.03168153333333333,0.14051470000000005,0.8594853000000001
pair_duration_long,Longer pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1319.0,2010,661.0,0.5409165302782324,0.5392798690671031,,0.3544041666666667,0.03567196666666667,0.07030263333333334,0.9296973666666665
pair_duration_long,Longer pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,1,1220.0,1285.0,2005,527.0,0.4319672131147541,0.4278688524590164,2103.0,0.35106216666666673,0.03639206666666666,0.07817956666666667,0.9218204333333333
pair_duration_long,Longer pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1277.0,2008,718.0,0.5909465020576131,0.5588477366255145,,0.3227559666666667,0.04111926666666666,0.08017876666666665,0.9198212333333334
pair_duration_long,Longer pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1220.0,1290.0,2002,407.0,0.3336065573770492,0.319672131147541,2078.0,0.41133243333333336,0.03424643333333333,0.05399426666666666,0.9460057333333334
pair_duration_long,Longer pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1264.0,2005,528.0,0.4360033030553262,0.4360033030553262,2118.0,0.4297483,0.02999426666666667,0.0854513,0.9145486999999999
pair_duration_long,Longer pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1220.0,1313.0,2007,548.0,0.4491803278688525,0.43934426229508194,2095.0,0.3140111333333334,0.03699603333333334,0.08149543333333331,0.9181219333333333
pair_duration_long,Longer pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1220.0,1290.0,2002,146.0,0.11967213114754098,0.11885245901639344,2066.0,0.4232363,0.03210526666666667,0.03790453333333334,0.9620954666666666
pair_duration_long,Longer pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1263.0,2005,144.0,0.11890999174236168,0.11890999174236168,2070.0,0.5615611333333332,0.02415463333333333,0.04310983333333333,0.9568901666666666
pair_duration_long,Longer pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1220.0,1318.0,2006,327.0,0.2680327868852459,0.26721311475409837,2075.0,0.4192349333333333,0.030250299999999997,0.05302896666666666,0.9469710333333334
phantom_100x,Lower SNS pool multiplier,visibility,symmetric,Symmetric,none,0,1222.0,1371.0,2017,1025.0,0.8387888707037643,0.8126022913256956,,0.30306993333333326,0.037204333333333325,0.1365572,0.8634428
phantom_100x,Lower SNS pool multiplier,visibility,symmetric,Symmetric,none,1,1220.0,1300.0,2005,820.0,0.6721311475409836,0.6680327868852459,,0.36546990000000007,0.03239393333333333,0.08227673333333334,0.9177232666666667
phantom_100x,Lower SNS pool multiplier,visibility,symmetric,Symmetric,none,2,1217.0,1276.0,1996,1056.0,0.8677074774034511,0.8019720624486442,,0.26216880000000004,0.03372326666666667,0.15830510000000003,0.8416948999999999
phantom_100x,Lower SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1336.0,2010,857.0,0.7013093289689034,0.6612111292962357,,0.31922043333333333,0.0367233,0.1036519,0.8963481000000001
phantom_100x,Lower SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1286.0,1996,612.0,0.5020508613617719,0.48810500410172275,2127.0,0.3026426333333333,0.0370474,0.0898314,0.9101686
phantom_100x,Lower SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1274.0,1996,893.0,0.7349794238683127,0.6279835390946502,,0.25033140000000004,0.04069216666666667,0.16827819999999996,0.8317218
phantom_100x,Lower SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1276.0,2000,475.0,0.390304026294166,0.36236647493837304,2078.0,0.32165309999999997,0.03768206666666666,0.07721183333333333,0.9227881333333333
phantom_100x,Lower SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,457.0,0.37737407101568954,0.3699421965317919,2091.0,0.307187,0.03917823333333333,0.08589050000000002,0.9141095000000001
