calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed,start_population,peak_population,peak_year,final_population,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
topk_32,Larger top-k capacity,attention,symmetric,Symmetric,none,1,1220.0,1300.0,2005,977.0,0.8008196721311476,0.7131147540983607,,0.28407666666666664,0.03742396666666667,0.07100273333333333,0.9289972666666667
topk_32,Larger top-k capacity,attention,symmetric,Symmetric,none,2,1217.0,1276.0,1996,1054.0,0.8660640920295809,0.7822514379622021,,0.28147573333333337,0.03098343333333333,0.08420306666666667,0.9157969333333333
topk_32,Larger top-k capacity,attention,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1341.0,2008,817.0,0.6685761047463176,0.6685761047463176,,0.2650457333333333,0.03638883333333333,0.07569356666666667,0.9243064333333334
topk_32,Larger top-k capacity,attention,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1286.0,1996,679.0,0.55701394585726,0.527481542247744,,0.32076243333333326,0.03719866666666667,0.0550754,0.9449246000000001
topk_32,Larger top-k capacity,attention,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1274.0,1996,874.0,0.7193415637860082,0.6362139917695473,,0.2717439,0.04154856666666666,0.07283786666666667,0.9271621333333334
topk_32,Larger top-k capacity,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1276.0,2000,582.0,0.4782251437962202,0.42974527526705014,2079.0,0.3044504333333334,0.03568419999999999,0.061063933333333334,0.9369747333333333
topk_32,Larger top-k capacity,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,595.0,0.4913294797687861,0.48554913294797686,2146.0,0.38971279999999997,0.032302533333333334,0.04581836666666667,0.9541816333333332
topk_32,Larger top-k capacity,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1305.0,2006,734.0,0.6031224322103533,0.5669679539852095,,0.2926628666666667,0.039485266666666664,0.061024266666666674,0.9389757333333334
topk_32,Larger top-k capacity,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1275.0,2000,244.0,0.20049301561216104,0.19802793755135578,2067.0,0.47330539999999993,0.03253863333333333,0.03186919999999999,0.9667524666666665
topk_32,Larger top-k capacity,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,245.0,0.2023121387283237,0.19322873658133774,2074.0,0.42087943333333333,0.0361126,0.04458956666666666,0.9554104333333334
topk_32,Larger top-k capacity,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1301.0,2006,477.0,0.39194741166803615,0.37962202136400985,2079.0,0.34068493333333333,0.03940010000000001,0.04391406666666666,0.9542731666666667
reserve_50,Reserve 50%,attention,symmetric,Symmetric,none,0,1222.0,1370.0,2017,1013.0,0.8289689034369886,0.806873977086743,,0.2699249,0.03843986666666667,0.15964466666666668,0.8403553333333335
reserve_50,Reserve 50%,attention,symmetric,Symmetric,none,1,1220.0,1300.0,2005,977.0,0.8008196721311476,0.7131147540983607,,0.28407666666666664,0.03742396666666667,0.14200549999999998,0.8579945
reserve_50,Reserve 50%,attention,symmetric,Symmetric,none,2,1217.0,1276.0,1996,1054.0,0.8660640920295809,0.7822514379622021,,0.28147573333333337,0.03098343333333333,0.16840583333333334,0.8315941666666667
reserve_50,Reserve 50%,attention,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1341.0,2008,817.0,0.6685761047463176,0.6685761047463176,,0.2650457333333333,0.03638883333333333,0.15138716666666668,0.8486128333333335
reserve_50,Reserve 50%,attention,income_500_floor,B 500+ proxy,fixed 0.55,1,1219.0,1286.0,1996,679.0,0.55701394585726,0.527481542247744,,0.32076243333333326,0.03719866666666667,0.1101508,0.8898492000000001
reserve_50,Reserve 50%,attention,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1274.0,1996,874.0,0.7193415637860082,0.6362139917695473,,0.2717439,0.04154856666666666,0.14567549999999999,0.8543244666666666
reserve_50,Reserve 50%,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1276.0,2000,582.0,0.4782251437962202,0.42974527526705014,2079.0,0.3044504333333334,0.03568419999999999,0.1221276,0.8776577999999999
reserve_50,Reserve 50%,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,595.0,0.4913294797687861,0.48554913294797686,2146.0,0.38971279999999997,0.032302533333333334,0.09163663333333334,0.9083633666666667
reserve_50,Reserve 50%,attention,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1217.0,1305.0,2006,734.0,0.6031224322103533,0.5669679539852095,,0.2926628666666667,0.039485266666666664,0.12204866666666668,0.8779513333333334
reserve_50,Reserve 50%,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1275.0,2000,244.0,0.20049301561216104,0.19802793755135578,2067.0,0.47330539999999993,0.03253863333333333,0.06373820000000001,0.9362618000000001
reserve_50,Reserve 50%,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1211.0,1256.0,1996,245.0,0.2023121387283237,0.19322873658133774,2074.0,0.42087943333333333,0.0361126,0.0891794,0.9108205999999999
reserve_50,Reserve 50%,attention,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1217.0,1301.0,2006,477.0,0.39194741166803615,0.37962202136400985,2079.0,0.34068493333333333,0.03940010000000001,0.08782789999999999,0.9120641333333332
repro_20_44,Reproductive window 20-44,age_window,symmetric,Symmetric,none,0,1220.0,1301.0,2008,640.0,0.5245901639344263,0.5245901639344263,,0.2976541,0.0386202,0.08211456666666668,0.9178854
repro_20_44,Reproductive window 20-44,age_window,symmetric,Symmetric,none,1,1223.0,1263.0,2005,639.0,0.5224856909239575,0.5167620605069502,,0.31126973333333346,0.03657673333333333,0.07848916666666667,0.9215108333333333
repro_20_44,Reproductive window 20-44,age_window,symmetric,Symmetric,none,2,1215.0,1248.0,1992,606.0,0.49876543209876545,0.49876543209876545,2159.0,0.2803294,0.037222399999999996,0.09489603333333332,0.9051039666666667
repro_20_44,Reproductive window 20-44,age_window,income_500_floor,B 500+ proxy,fixed 0.55,0,1222.0,1288.0,2008,361.0,0.29541734860883795,0.28477905073649756,2076.0,0.31077316666666666,0.04289786666666666,0.06622936666666666,0.9337706333333333
repro_20_44,Reproductive window 20-44,age_window,income_500_floor,B 500+ proxy,fixed 0.55,1,1220.0,1256.0,1994,324.0,0.26557377049180325,0.26557377049180325,2079.0,0.43101690000000004,0.029572433333333332,0.0697991,0.9302009000000001
repro_20_44,Reproductive window 20-44,age_window,income_500_floor,B 500+ proxy,fixed 0.55,2,1215.0,1254.0,1992,467.0,0.38436213991769547,0.37777777777777777,2078.0,0.30312786666666663,0.04450730000000001,0.07507696666666668,0.9249230333333334
repro_20_44,Reproductive window 20-44,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1219.0,1254.0,1995,162.0,0.13289581624282198,0.13289581624282198,2067.0,0.4993815333333334,0.029166533333333338,0.0465872,0.9534128000000002
repro_20_44,Reproductive window 20-44,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1207.0,1227.0,1985,238.0,0.19718309859154928,0.19718309859154928,2062.0,0.3694048333333333,0.03696373333333334,0.05722989999999999,0.9426312
repro_20_44,Reproductive window 20-44,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1218.0,1255.0,2009,398.0,0.32676518883415434,0.32594417077175697,2074.0,0.34758750000000005,0.037104866666666673,0.057709600000000014,0.9422904000000002
repro_20_44,Reproductive window 20-44,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1219.0,1247.0,1993,123.0,0.10090237899917966,0.10008203445447088,2059.0,0.49739583333333337,0.028074933333333333,0.05562863333333335,0.9443713666666668
repro_20_44,Reproductive window 20-44,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1207.0,1227.0,1985,94.0,0.07787903893951947,0.07787903893951947,2054.0,0.5573954999999999,0.028785733333333334,0.030729733333333335,0.9692702666666665
repro_20_44,Reproductive window 20-44,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1218.0,1242.0,2006,124.0,0.10180623973727422,0.09688013136288999,2060.0,0.43384860000000003,0.04198733333333334,0.030921233333333333,0.9690787666666666
repro_20_39,Reproductive window 20-39,age_window,symmetric,Symmetric,none,0,1217.0,1217.0,1980,175.0,0.1437962202136401,0.1437962202136401,2062.0,0.3628737666666667,0.040051466666666674,0.035788833333333346,0.9308778333333334
repro_20_39,Reproductive window 20-39,age_window,symmetric,Symmetric,none,1,1219.0,1222.0,1981,137.0,0.11238720262510254,0.11238720262510254,2050.0,0.41979243333333344,0.03858273333333331,0.037735866666666666,0.9622641333333332
repro_20_39,Reproductive window 20-39,age_window,symmetric,Symmetric,none,2,1218.0,1221.0,1982,204.0,0.16748768472906403,0.16338259441707717,2051.0,0.2775101,0.051729533333333334,0.041391266666666676,0.9566706333333334
repro_20_39,Reproductive window 20-39,age_window,income_500_floor,B 500+ proxy,fixed 0.55,0,1218.0,1221.0,1996,64.0,0.052545155993431854,0.052545155993431854,2055.0,0.6317440999999999,0.020261533333333335,0.0174482,0.9492184666666666
repro_20_39,Reproductive window 20-39,age_window,income_500_floor,B 500+ proxy,fixed 0.55,1,1218.0,1220.0,1981,77.0,0.06321839080459771,0.06321839080459771,2049.0,0.38708543333333334,0.046160233333333335,0.015134699999999997,0.9848652999999999
repro_20_39,Reproductive window 20-39,age_window,income_500_floor,B 500+ proxy,fixed 0.55,2,1218.0,1218.0,1980,98.0,0.08045977011494253,0.08045977011494253,2044.0,0.43101603333333327,0.028560733333333334,0.025292400000000003,0.9413742666666667
repro_20_39,Reproductive window 20-39,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,0,1217.0,1219.0,1981,51.0,0.0419063270336894,0.04026294165981923,2048.0,0.4318336,0.0332967,0.018668133333333333,0.9479985333333334
repro_20_39,Reproductive window 20-39,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,1,1207.0,1207.0,1980,37.0,0.030654515327257662,0.030654515327257662,2044.0,0.7671510000000002,0.008397433333333334,0.011559333333333333,0.7884406666666667
repro_20_39,Reproductive window 20-39,age_window,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,2,1208.0,1213.0,1983,71.0,0.058774834437086095,0.058774834437086095,2050.0,0.3666402333333334,0.03859543333333334,0.022519866666666666,0.7774801333333333
repro_20_39,Reproductive window 20-39,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,0,1217.0,1219.0,1981,2.0,0.0016433853738701725,0.0016433853738701725,2043.0,0.0,0.0,0.0,0.0
repro_20_39,Reproductive window 20-39,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,1,1207.0,1207.0,1980,23.0,0.019055509527754765,0.019055509527754765,2043.0,0.7877779333333336,0.015277800000000001,0.0077777666666666665,0.7224305666666666
repro_20_39,Reproductive window 20-39,age_window,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,2,1208.0,1213.0,1983,16.0,0.013245033112582781,0.013245033112582781,2048.0,0.6977777666666668,0.013333333333333334,0.004861099999999999,0.061805566666666666
