calibration,calibration_label,calibration_category,aspiration_profile,aspiration_label,quantile_label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean,delta_vs_symmetric,retained_vs_symmetric
pair_duration_short,Shorter pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.4833493426374405,0.4062244062244062,0.5574712643678161,0.4655482141577803,0.3286922111111111,0.035737788888888886,0.1486531111111111,0.8513469000000001,-0.43132305826689327,0.5284398459596622
pair_duration_short,Shorter pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.29663256303968205,0.23669123669123668,0.3637110016420361,0.28512739135653486,0.3726974666666667,0.03989455555555555,0.09497922222222221,0.9049632000000001,-0.6180398378646517,0.3243047048827562
pair_duration_long,Longer pair duration,pairing,symmetric,Symmetric,none,3,0.8486158773973046,0.7655737704918033,0.8989317995069844,0.7786569360903459,0.2581732666666667,0.03591805555555555,0.11829532222222224,0.8817046666666668,0.0,1.0
pair_duration_long,Longer pair duration,pairing,income_500_floor,B 500+ proxy,fixed 0.55,3,0.5212767484835332,0.4319672131147541,0.5909465020576131,0.5086654860505447,0.3427407666666667,0.03772776666666666,0.07622032222222222,0.9237796777777777,-0.32733912891377137,0.6142670227692217
pair_duration_long,Longer pair duration,pairing,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.40626339610040924,0.3336065573770492,0.4491803278688525,0.3983398988326497,0.38503062222222234,0.03374557777777778,0.07364699999999999,0.9262254555555556,-0.44235248129689536,0.47873650130894857
pair_duration_long,Longer pair duration,pairing,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.1688716365917162,0.11890999174236168,0.2680327868852459,0.1683251885042845,0.46801078888888886,0.028836733333333333,0.044681111111111116,0.9553188888888888,-0.6797442408055884,0.19899655555543413
phantom_100x,Lower SNS pool multiplier,visibility,symmetric,Symmetric,none,3,0.792875831882733,0.6721311475409836,0.8677074774034511,0.7608690468865286,0.31023621111111116,0.034440511111111106,0.12571301111111113,0.8742869888888888,0.0,1.0
phantom_100x,Lower SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,3,0.6461132047329959,0.5020508613617719,0.7349794238683127,0.5924332241642029,0.29073148888888894,0.03815428888888889,0.12058716666666665,0.8794128333333333,-0.1467626271497371,0.8148983469438839
phantom_100x,Lower SNS pool multiplier,visibility,mixed_light,B light mixed,mix 55/25/15/5 at 0.55/0.75/0.87/0.90,3,0.41393159255713347,0.37737407101568954,0.4741166803615448,0.3994028083207863,0.3248862111111111,0.03758846666666666,0.08960322222222224,0.9103967666666667,-0.37894423932559956,0.5220635765555208
phantom_100x,Lower SNS pool multiplier,visibility,mixed_heavy,B compound-heavy,mix 25/25/35/15 at 0.55/0.75/0.87/0.90,3,0.22547491598175315,0.2014863748967795,0.27280197206244866,0.22136645254707768,0.3872219111111111,0.035502411111111104,0.07877043333333333,0.9212295666666667,-0.5674009159009799,0.28437607367391804
phantom_500x,Higher SNS pool multiplier,visibility,symmetric,Symmetric,none,3,0.7860564101696942,0.6721311475409836,0.8677074774034511,0.7586868319383561,0.30876734444444454,0.03442596666666667,0.12121244444444446,0.8787875555555557,0.0,1.0
phantom_500x,Higher SNS pool multiplier,visibility,income_500_floor,B 500+ proxy,fixed 0.55,3,0.6529492545663483,0.5799835931091059,0.7102880658436214,0.5910655532108221,0.3036176888888889,0.038177633333333336,0.11995505555555554,0.8800449444444444,-0.13310715560334585,0.830664626760552
