seed,reserved_slots,reserve_fraction,final_ratio,min_ratio,half_population_year,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
0,0,0.0,0.0,0.0,2060.0,0.1411764705882353,0.0,0.00022671176470588235,0.13325582941176473
0,1,0.0625,0.11748526522593321,0.06168958742632613,2063.0,0.36669938235294114,0.03921584117647059,0.048144058823529415,0.9475075647058823
0,2,0.125,0.4168958742632613,0.38153241650294695,2081.0,0.3339744647058823,0.03587635294117647,0.1230696705882353,0.8760937058823528
0,3,0.1875,0.6510805500982318,0.5756385068762279,,0.306538894117647,0.03576682352941176,0.18496341176470588,0.8146508941176471
0,4,0.25,0.7225933202357564,0.7013752455795678,,0.28753616470588234,0.035099776470588234,0.2451249588235294,0.7546909117647059
0,5,0.3125,0.8589390962671906,0.7905697445972495,,0.2658576058823529,0.03528110588235294,0.3006864058823529,0.6971948235294118
0,6,0.375,0.943811394891945,0.8884086444007858,,0.2520616705882353,0.03592588823529412,0.35437051176470585,0.6455356882352941
0,8,0.5,0.9611001964636542,0.9273084479371316,,0.2354588941176471,0.03528327058823529,0.4442838823529412,0.5555991058823531
1,0,0.0,0.0,0.0,2057.0,0.14705882352941177,0.0,0.0009413352941176471,0.13949268235294116
1,1,0.0625,0.10818253343823761,0.06805664830841857,2061.0,0.3674281352941176,0.03622278235294118,0.04710815882352941,0.9504265352941178
1,2,0.125,0.3914240755310779,0.35129819040125887,2078.0,0.3439698235294118,0.03640595294117648,0.12247431176470588,0.8773793647058824
1,3,0.1875,0.5814319433516916,0.53147128245476,,0.3308008,0.03582235882352942,0.1840814823529412,0.8155232117647059
1,4,0.25,0.7431156569630213,0.7033831628638867,,0.299737305882353,0.035963547058823535,0.24616422941176475,0.7537368764705882
1,5,0.3125,0.8280881195908734,0.8182533438237608,,0.2799984176470588,0.035025694117647055,0.3054139941176471,0.6944784529411765
1,6,0.375,0.9051927616050354,0.8536585365853658,,0.2530419,0.0358427,0.3558157823529412,0.644083388235294
1,8,0.5,1.014162077104642,0.948072383949646,,0.22295707647058824,0.03602337058823529,0.4364656764705882,0.5634838176470588
2,0,0.0,0.003523884103367267,0.001957713390759593,2057.0,0.4174466941176472,0.0317647,0.006804129411764706,0.2903399235294118
2,1,0.0625,0.05520751761942052,0.05520751761942052,2060.0,0.37870419411764705,0.03261751764705883,0.04555105882352941,0.9531635176470589
2,2,0.125,0.36021926389976505,0.35395458104933436,2077.0,0.36896451764705884,0.03535988235294117,0.12283014117647059,0.8770228
2,3,0.1875,0.6072826938136257,0.5712607674236492,,0.3098813647058824,0.03584154705882353,0.1851572176470588,0.8148167529411764
2,4,0.25,0.7400156617071261,0.7278778386844166,,0.29857257058823533,0.035705011764705884,0.24517027647058828,0.7547166470588235
2,5,0.3125,0.8390759592795615,0.7779953014878622,,0.26886039999999994,0.035730717647058825,0.30114464117647055,0.6987039411764706
2,6,0.375,0.8206734534064213,0.8194988253719655,,0.26972684117647056,0.035324135294117646,0.35292125882352937,0.6470686823529412
2,8,0.5,0.9733750978856696,0.9342208300704777,,0.2285850294117647,0.03547312352941177,0.44257782352941166,0.557349894117647
