seed,variant,final_ratio,late_ratio,late_unmatched,late_bpe,late_selected_actionable,late_phantom_share
0,current_no_reserve,0.5115822536317236,0.45511701012923506,0.9628744318181819,0.001755090909090909,0.009124454545454545,0.9171763181818182
0,reserve_0_25,0.934040047114252,0.7999327505043712,0.4103151590909091,0.026145000000000005,0.24960331818181822,0.7445605909090911
0,reserve_0_50,1.1240675304279544,0.9433278418451401,0.2495400909090909,0.03257361363636364,0.4630653181818181,0.5341095681818184
0,reserve_0_75,1.1452689438555164,0.9570209973753281,0.22291356818181815,0.03298140909090908,0.5625856818181818,0.43352927272727276
0,top_k_64_cap_64,0.8712210443659207,0.7473896934994948,0.483129,0.02282570454545455,0.06705127272727272,0.38693659090909094
1,current_no_reserve,0.4653270291568164,0.43708364174685416,0.9618252272727271,0.0018919545454545452,0.023770590909090908,0.8421804318181817
1,reserve_0_25,0.8565799842395587,0.7731152204836416,0.4123848636363637,0.026112590909090908,0.2482407272727273,0.740764681818182
1,reserve_0_50,1.0267927501970056,0.9048611111111111,0.2499951590909091,0.032342863636363635,0.4518298409090909,0.5394330909090909
1,reserve_0_75,1.0815602836879432,0.9501557632398754,0.20973304545454544,0.034814931818181814,0.5296381136363637,0.4657329772727273
1,top_k_64_cap_64,0.8171788810086682,0.7354609929078014,0.482480659090909,0.02381865909090909,0.06696534090909091,0.3940628636363636
2,current_no_reserve,0.45888801879404856,0.42540834845735026,0.968773590909091,0.00136125,0.016776863636363635,0.8709400454545453
2,reserve_0_25,0.8551292090837901,0.7617718869898848,0.39246413636363636,0.02631727272727273,0.24825745454545453,0.7466013409090909
2,reserve_0_50,0.9968676585747847,0.8764199655765921,0.25554186363636355,0.031599295454545456,0.4409942954545455,0.5537785
2,reserve_0_75,1.023884103367267,0.8949349760438056,0.23043061363636363,0.03220527272727272,0.5141623863636363,0.4792716363636364
2,top_k_64_cap_64,0.7967893500391543,0.7100488485694347,0.4802621363636364,0.023000863636363635,0.0628855909090909,0.40318045454545465
3,current_no_reserve,0.4470588235294118,0.41379310344827586,0.9715707954545455,0.0011216136363636363,0.011384795454545455,0.879338318181818
3,reserve_0_25,0.8909803921568628,0.7858872362504323,0.3344690227272727,0.027712227272727277,0.24671052272727276,0.7421721136363636
3,reserve_0_50,1.0015686274509803,0.8695948246510045,0.2428775,0.03156106818181818,0.40329099999999996,0.590067909090909
3,reserve_0_75,1.031372549019608,0.8933423913043478,0.22644775000000006,0.032616204545454545,0.4419772045454545,0.55115625
3,top_k_64_cap_64,0.7807843137254902,0.6910794862894828,0.4832883636363636,0.022289227272727273,0.05560361363636365,0.37202675
4,current_no_reserve,0.47091194968553457,0.43249097472924186,0.964122340909091,0.0015661363636363635,0.015530954545454546,0.8516824545454544
4,reserve_0_25,0.8919025157232704,0.7894919972164232,0.38765286363636364,0.026795750000000004,0.24905590909090905,0.7409438863636363
4,reserve_0_50,0.9984276729559748,0.8731522860089378,0.27045713636363633,0.03068759090909091,0.4458809090909091,0.5468660000000001
4,reserve_0_75,1.0377358490566038,0.9028727770177839,0.2331058863636363,0.03192879545454546,0.5389707272727272,0.45514870454545453
4,top_k_64_cap_64,0.8349056603773585,0.7375,0.48024686363636365,0.02398263636363636,0.07384002272727273,0.3697399318181818
