year,population_size,birth_count,death_count,matched_pair_count,unmatched_rate,mean_visible_candidate_count,median_visible_candidate_count,visibility_coverage_rate,theoretical_area_coverage,effective_birth_probability,selection_worker_count,trait_mean,trait_variance,trait_diversity,reproductive_concentration,effective_parent_count,visibility_radius
192,2707,22,29,304,0.403922,1019.0,1019.0,1.0,1.0,0.11575,8,0.872466,0.058725,0.541873,0.983746,44.0,1.34232
193,2712,34,29,310,0.392752,1020.0,1020.0,1.0,1.0,0.1161,8,0.873308,0.058071,0.538845,0.974926,68.0,1.345272
194,2723,39,28,309,0.397661,1025.0,1025.0,1.0,1.0,0.1158,8,0.874252,0.057544,0.536393,0.977758,62.081633,1.348124
195,2731,32,24,310,0.38856,1013.0,1013.0,1.0,1.0,0.11505,8,0.875129,0.056766,0.532758,0.980547,53.894737,1.350876
196,2747,36,20,314,0.387914,1025.0,1025.0,1.0,1.0,0.11445,8,0.875727,0.056046,0.529368,0.97379,72.0,1.353532
197,2766,44,25,305,0.412897,1038.0,1038.0,1.0,1.0,0.1139,8,0.87694,0.055367,0.52615,0.970946,80.666667,1.356096
198,2778,36,24,311,0.402498,1040.0,1040.0,1.0,1.0,0.1129,8,0.878044,0.054484,0.521937,0.974082,72.0,1.35857
199,2793,36,21,315,0.4,1049.0,1049.0,1.0,1.0,0.11215,8,0.87886,0.053963,0.519435,0.975614,68.210526,1.360956
200,2807,36,22,319,0.398113,1059.0,1059.0,1.0,1.0,0.11145,8,0.879723,0.053268,0.51608,0.975735,68.210526,1.363258
201,2828,45,24,316,0.401515,1055.0,1055.0,1.0,1.0,0.11085,8,0.880687,0.052546,0.512571,0.969558,86.170213,1.365478
202,2830,36,34,318,0.410565,1078.0,1078.0,1.0,1.0,0.1103,8,0.881674,0.051808,0.508957,0.975932,68.210526,1.367619
203,2845,43,28,311,0.42247,1076.0,1076.0,1.0,1.0,0.1099,8,0.882971,0.051179,0.50586,0.974872,72.509804,1.369683
204,2840,32,37,313,0.419833,1078.0,1078.0,1.0,1.0,0.1096,8,0.884037,0.050347,0.501733,0.980106,56.888889,1.371673
205,2839,30,31,310,0.418386,1065.0,1065.0,1.0,1.0,0.10955,8,0.884843,0.04984,0.499201,0.980228,56.25,1.373591
206,2856,40,23,308,0.423761,1068.0,1068.0,1.0,1.0,0.1092,8,0.885666,0.049391,0.496946,0.97465,72.727273,1.37544
207,2862,38,32,305,0.423985,1058.0,1058.0,1.0,1.0,0.1088,8,0.886942,0.048792,0.493923,0.977307,65.636364,1.377222
208,2855,30,37,309,0.42243,1069.0,1069.0,1.0,1.0,0.10875,8,0.888057,0.048309,0.491472,0.982767,50.0,1.378938
209,2864,31,22,310,0.423256,1074.0,1074.0,1.0,1.0,0.10835,8,0.88884,0.04776,0.488671,0.979704,58.242424,1.380592
210,2852,26,38,303,0.427221,1057.0,1057.0,1.0,1.0,0.1087,8,0.889398,0.047198,0.485786,0.983116,48.285714,1.382186
211,2851,33,34,296,0.437262,1051.0,1051.0,1.0,1.0,0.1091,8,0.890405,0.046537,0.482373,0.978211,62.228571,1.383721
212,2854,26,23,290,0.444444,1043.0,1043.0,1.0,1.0,0.1086,8,0.890992,0.04605,0.479844,0.983128,48.285714,1.385199
213,2870,44,28,290,0.439614,1034.0,1034.0,1.0,1.0,0.1087,8,0.891815,0.04564,0.477701,0.9707,84.173913,1.386623
214,2853,29,46,290,0.438529,1032.0,1032.0,1.0,1.0,0.1088,8,0.892897,0.044998,0.474332,0.979671,58.0,1.387994
215,2842,25,36,296,0.434575,1046.0,1046.0,1.0,1.0,0.10915,8,0.893718,0.04448,0.471592,0.982407,50.0,1.389314
216,2841,30,31,299,0.434248,1056.0,1056.0,1.0,1.0,0.10945,8,0.894608,0.04402,0.469149,0.982682,50.0,1.390586
217,2854,36,23,296,0.442036,1060.0,1060.0,1.0,1.0,0.1091,8,0.89542,0.04371,0.467492,0.976135,68.210526,1.391809
218,2861,40,33,298,0.43985,1063.0,1063.0,1.0,1.0,0.10895,8,0.896408,0.043341,0.465514,0.977071,66.666667,1.392988
219,2869,35,27,299,0.441121,1069.0,1069.0,1.0,1.0,0.1083,8,0.897272,0.042763,0.462401,0.975601,70.0,1.394122
220,2873,41,37,295,0.447566,1067.0,1067.0,1.0,1.0,0.1084,8,0.898277,0.0422,0.459345,0.976484,68.612245,1.395213
221,2875,34,32,297,0.445378,1070.0,1070.0,1.0,1.0,0.10795,8,0.899235,0.041754,0.456913,0.978967,60.842105,1.396264
222,2876,28,27,291,0.454034,1065.0,1065.0,1.0,1.0,0.1076,8,0.900005,0.041356,0.454732,0.980529,56.0,1.397275
223,2865,28,39,286,0.462911,1064.0,1064.0,1.0,1.0,0.10815,8,0.900878,0.041041,0.452997,0.9818,52.266667,1.398249
224,2858,29,36,285,0.458175,1051.0,1051.0,1.0,1.0,0.10855,8,0.901862,0.040518,0.450103,0.98347,48.057143,1.399185
225,2854,31,35,285,0.455587,1046.0,1046.0,1.0,1.0,0.10885,8,0.902446,0.040082,0.447671,0.978276,62.0,1.400086
226,2852,29,31,288,0.449857,1046.0,1046.0,1.0,1.0,0.10885,8,0.903116,0.039655,0.445281,0.979663,58.0,1.400953
227,2853,37,36,285,0.451396,1038.0,1038.0,1.0,1.0,0.1092,8,0.90421,0.03916,0.442492,0.975427,70.205128,1.401787
228,2859,37,31,279,0.453477,1020.0,1020.0,1.0,1.0,0.1089,8,0.905053,0.038764,0.440253,0.976764,66.780488,1.40259
229,2856,37,40,279,0.452941,1019.0,1019.0,1.0,1.0,0.10905,8,0.90598,0.03824,0.437263,0.977951,63.674419,1.403362
230,2855,35,36,265,0.459735,980.0,980.0,1.0,1.0,0.109,8,0.906933,0.037878,0.435187,0.978124,62.820513,1.404104
231,2853,40,42,271,0.450861,986.0,986.0,1.0,1.0,0.10935,8,0.908105,0.037474,0.432865,0.973326,76.190476,1.404819
232,2857,30,26,274,0.440245,978.0,978.0,1.0,1.0,0.10865,8,0.908864,0.03708,0.430583,0.978999,60.0,1.405506
233,2853,31,35,271,0.439504,966.0,966.0,1.0,1.0,0.1089,8,0.909596,0.036599,0.427778,0.978268,62.0,1.406167
234,2843,31,41,266,0.448133,963.0,963.0,1.0,1.0,0.1094,8,0.910426,0.036358,0.426371,0.980824,54.914286,1.406802
235,2842,32,33,268,0.445135,965.0,965.0,1.0,1.0,0.1095,8,0.91109,0.036031,0.424449,0.977481,64.0,1.407414
236,2841,29,30,266,0.44641,960.0,960.0,1.0,1.0,0.1094,8,0.911898,0.035715,0.422584,0.979585,58.0,1.408002
237,2832,36,45,270,0.439834,963.0,963.0,1.0,1.0,0.1102,8,0.912906,0.035499,0.421304,0.975949,68.210526,1.408567
238,2839,40,33,272,0.446592,982.0,982.0,1.0,1.0,0.11005,8,0.914095,0.035075,0.418777,0.975731,69.565217,1.409111
239,2834,37,42,270,0.450661,982.0,982.0,1.0,1.0,0.11015,8,0.915306,0.034737,0.416757,0.973888,74.0,1.409634
240,2829,27,32,270,0.444444,971.0,971.0,1.0,1.0,0.1099,8,0.916254,0.034366,0.414525,0.982274,50.275862,1.410137
241,2816,30,43,264,0.454545,967.0,967.0,1.0,1.0,0.1107,8,0.916811,0.034139,0.413151,0.982528,50.0,1.41062
242,2797,32,51,259,0.460978,960.0,960.0,1.0,1.0,0.11175,8,0.918007,0.033653,0.410203,0.978504,60.235294,1.411085
243,2791,29,35,258,0.455696,947.0,947.0,1.0,1.0,0.1119,8,0.918828,0.033468,0.40907,0.981888,50.969697,1.411532
244,2777,27,41,251,0.466525,940.0,940.0,1.0,1.0,0.1125,8,0.919806,0.033417,0.408758,0.983222,47.032258,1.411962
245,2770,30,37,254,0.460722,941.0,941.0,1.0,1.0,0.113,8,0.92072,0.033236,0.407653,0.981035,52.941176,1.412375
246,2776,26,20,249,0.471898,942.0,942.0,1.0,1.0,0.1125,8,0.92132,0.032946,0.405868,0.982654,48.285714,1.412772
247,2764,27,39,250,0.465241,934.0,934.0,1.0,1.0,0.11315,8,0.9223,0.032562,0.403498,0.980463,54.0,1.413154
248,2755,26,35,251,0.462527,933.0,933.0,1.0,1.0,0.11355,8,0.923387,0.03232,0.401998,0.982521,48.285714,1.413521
249,2731,25,49,254,0.45435,930.0,930.0,1.0,1.0,0.1147,8,0.924496,0.031925,0.399533,0.981692,50.0,1.413874
250,2711,27,47,254,0.453175,928.0,928.0,1.0,1.0,0.1158,8,0.925459,0.031694,0.39808,0.981502,50.275862,1.414214
