reserved_slots,reserve_fraction,final_ratio_mean,final_ratio_min,final_ratio_max,min_ratio_mean,late_unmatched_mean,late_births_per_eligible_mean,late_selected_actionable_mean,late_phantom_share_mean
0,0.0,0.0011746280344557558,0.0,0.003523884103367267,0.0006525711302531977,0.23522732941176475,0.010588233333333334,0.0026573921568627448,0.18769614509803922
1,0.0625,0.09362510542786379,0.05520751761942052,0.11748526522593321,0.06165125111805508,0.37094390392156856,0.036018713725490197,0.04693442549019608,0.9503658725490197
2,0.125,0.3895130712313681,0.36021926389976505,0.4168958742632613,0.3622617293178467,0.34896960196078436,0.035880729411764706,0.12279137450980393,0.8768319568627451
3,0.1875,0.6132650624211831,0.5814319433516916,0.6510805500982318,0.5594568522515457,0.31574035294117647,0.0358102431372549,0.18473403725490198,0.8149969529411765
4,0.25,0.7352415463019679,0.7225933202357564,0.7431156569630213,0.7108787490426236,0.2952820137254902,0.03558944509803922,0.24548648823529415,0.7543814784313726
5,0.3125,0.8420343917125418,0.8280881195908734,0.8589390962671906,0.7956061299696242,0.27157214117647055,0.03534583921568627,0.3024150137254902,0.6967924058823529
6,0.375,0.8898925366344672,0.8206734534064213,0.943811394891945,0.8538553354527058,0.2582768039215686,0.035697574509803924,0.3543691843137255,0.6455625862745098
8,0.5,0.9828791238179887,0.9611001964636542,1.014162077104642,0.9365338873190852,0.22900033333333333,0.03559325490196078,0.44110912745098035,0.5588109392156863
