variant,final_ratio,pre_ratio,shock_ratio,late_ratio,late_unmatched,late_bpe,late_selected_actionable,late_phantom_share,late_selected_phantom
phantom_sampled_default,0.415,1.076,0.952,0.406,0.964,0.0015,0.018,0.85,13.6
phantom_none_old_behavior,0.491,1.076,0.961,0.476,0.812,0.0094,0.106,0.0,0.0
phantom_cap_64,0.438,1.076,0.954,0.429,0.906,0.0044,0.062,0.378,6.04
phantom_cap_128,0.422,1.076,0.953,0.414,0.947,0.0023,0.041,0.584,9.35
phantom_cap_256,0.416,1.076,0.953,0.408,0.958,0.0016,0.032,0.666,10.66
phantom_cap_1024,0.414,1.076,0.952,0.406,0.965,0.0014,0.009,0.93,14.87
