seed,variant,final_ratio,pre_min_ratio,late_ratio,late_unmatched,late_selected_actionable,late_acceptance_share,late_action_coverage,late_bpe
0,current_sns,0.5975657636435021,1.0,0.5230240549828179,0.8413129318181817,0.11166756818181817,0.00010847727272727273,0.1125503409090909,0.00758625
0,no_sns_fixed_local,1.0243423635649784,1.0,0.8781555031975766,0.30911838636363637,0.38430711363636366,0.38430711363636366,0.0035731818181818182,0.030114863636363634
0,global_action_radius,0.7714958775029447,1.0,0.6649746192893401,0.6100986136363636,1.0,0.00013818181818181816,1.0,0.018145090909090913
0,action_radius_0_50,0.7400863761287789,1.0,0.6413746172167404,0.6373761590909092,0.4324740000000001,0.00013550000000000001,0.44241702272727257,0.016953954545454543
0,top_k_64,1.0643894778170397,1.0,0.8938344873062974,0.29893136363636363,0.1122624772727273,0.0013840681818181818,0.11307195454545456,0.030111954545454546
0,percentile_selection,0.9246171967020024,1.0,0.8101135190918473,0.3862210454545455,0.11009611363636364,0.0005987272727272728,0.11016720454545453,0.027502409090909095
1,current_sns,0.5457052797478329,1.0,0.5012667390517553,0.8464702045454545,0.11072272727272728,0.00011770454545454545,0.1148164090909091,0.007215750000000001
1,no_sns_fixed_local,0.9389282899921197,1.0,0.8456352022711142,0.3178908409090909,0.3855358636363636,0.3855358636363636,0.003709318181818182,0.029885818181818184
1,global_action_radius,0.7235131941709334,1.0,0.6572450805008945,0.58516175,1.0,0.0001558409090909091,1.0,0.018795340909090907
1,action_radius_0_50,0.6833398975974794,1.0,0.6252252252252253,0.6287487954545455,0.5184177727272726,0.0001600227272727273,0.5126883636363636,0.017539363636363634
1,top_k_64,1.016154452324665,1.0,0.8964198818213417,0.2686139772727273,0.11811868181818182,0.00199575,0.11960299999999999,0.032044659090909096
1,percentile_selection,0.8356973995271868,1.0,0.7729591836734694,0.4006519772727273,0.10681027272727274,0.0006059545454545455,0.11125125000000001,0.026859999999999995
2,current_sns,0.5485512920908379,1.0,0.49893162393162394,0.8159351136363636,0.10984175,0.00014095454545454548,0.12092495454545453,0.00878175
2,no_sns_fixed_local,0.8872357086922474,1.0,0.7912011173184358,0.35317459090909087,0.3266476363636363,0.3266476363636363,0.0025300681818181815,0.027479522727272724
2,global_action_radius,0.6904388714733543,1.0,0.6226148409893993,0.5792449318181817,1.0,0.00018045454545454544,1.0,0.0178465
2,action_radius_0_50,0.671109368874951,1.0,0.6017574692442882,0.6105670227272727,0.5460852272727273,0.0001954318181818182,0.5594769772727273,0.016375227272727274
2,top_k_64,0.9819890368050117,1.0,0.8603773584905661,0.27004647727272724,0.11588,0.0019911136363636368,0.11780934090909091,0.03063170454545455
2,percentile_selection,0.7967893500391543,1.0,0.7270453733476242,0.4313106818181817,0.1116960681818182,0.0005984318181818183,0.11678652272727269,0.025018840909090904
3,current_sns,0.5274509803921569,1.0,0.478988603988604,0.8567016590909092,0.08710434090909092,0.00012552272727272727,0.09307161363636364,0.007401681818181816
3,no_sns_fixed_local,0.8792156862745099,1.0,0.7760470751124957,0.35449536363636364,0.31005359090909096,0.31005359090909096,0.002299409090909091,0.02651320454545454
3,global_action_radius,0.7145098039215686,1.0,0.6426807760141093,0.5677427954545455,1.0,0.00017331818181818184,1.0,0.019595363636363636
3,action_radius_0_50,0.6713725490196079,1.0,0.6058032554847842,0.6202712954545455,0.5376687954545455,0.00017331818181818184,0.5805458409090909,0.017590136363636363
3,top_k_64,0.9627450980392157,1.0,0.8390293916609706,0.29157452272727274,0.09350554545454547,0.0017333636363636364,0.09544122727272727,0.030248954545454544
3,percentile_selection,0.792156862745098,1.0,0.7279279279279279,0.42373531818181825,0.08972243181818183,0.0006134318181818181,0.09584811363636363,0.02526422727272727
4,current_sns,0.5514937106918238,1.0,0.5021474588403723,0.8298574318181817,0.11072947727272725,0.00012495454545454547,0.12351252272727277,0.008307545454545455
4,no_sns_fixed_local,0.9481132075471698,1.0,0.8369188063844553,0.31040013636363645,0.3736489545454545,0.3736489545454545,0.0033108181818181813,0.029063181818181818
4,global_action_radius,0.7130503144654088,1.0,0.6418966737438075,0.5865156590909092,1.0,0.00016570454545454543,1.0,0.019140863636363636
4,action_radius_0_50,0.7059748427672956,1.0,0.6364280652019844,0.6009838181818181,0.5743197272727273,0.00016331818181818182,0.5792601818181817,0.018962659090909093
4,top_k_64,0.9909591194968553,1.0,0.8648370497427101,0.2669956363636363,0.11869445454545455,0.0017571363636363637,0.11647838636363637,0.03006547727272727
4,percentile_selection,0.8388364779874213,1.0,0.7665229885057471,0.4092357045454546,0.10977788636363633,0.0006165909090909091,0.12499104545454548,0.02675895454545455
