variant,final_ratio,final_pop,peak_pop,late_ratio,late_unmatched,late_bpe,late_selected_actionable,late_phantom_share
reserve_1_00,0.959,2443,2756,0.892,0.222,0.0343,0.483,0.505
reserve_0_50_top_k_32,0.959,2443,2756,0.892,0.222,0.0343,0.242,0.738
reserve_0_25_top_k_64_cap_64,0.959,2443,2756,0.892,0.222,0.0343,0.121,0.465
reserve_0_50,0.945,2408,2750,0.883,0.228,0.0339,0.412,0.574
reserve_0_50_cap_64,0.945,2408,2750,0.883,0.228,0.0339,0.412,0.436
reserve_0_75,0.941,2396,2750,0.877,0.224,0.0336,0.455,0.535
reserve_0_25,0.811,2066,2748,0.767,0.364,0.0286,0.247,0.735
current_no_reserve,0.415,1056,2748,0.406,0.964,0.0015,0.018,0.85
